"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,246,"UZB","Uzbekistan",1,"Andijon","UZ.AN",NA,"","Wiloyat","Region","","Andijan|Andizhan"
2,246,"UZB","Uzbekistan",2,"Bukhoro","UZ.BU",NA,"","Wiloyat","Region","","Bukhara|Buxoro|Mawarranahr|Transoxania|Turan"
3,246,"UZB","Uzbekistan",3,"Ferghana","UZ.FA",NA,"","Wiloyat","Region","","Farghona|Farg`ona|Fergana"
4,246,"UZB","Uzbekistan",4,"Jizzakh","UZ.JI",NA,"","Wiloyat","Region","","Dzhizak|Jizzax"
5,246,"UZB","Uzbekistan",5,"Karakalpakstan","UZ.QR",NA,"","Repuplikasi","Autononous Region","","Qoraqalpog`iston autonomous republic|Kara-Kalpakia|Qoraqalpoghiston|Qoraqalpog`iston|Qoraqalpoghiston Respublikasi"
6,246,"UZB","Uzbekistan",6,"Kashkadarya","UZ.QA",NA,"","Wiloyat","Region","","Kashka-Dar'ya|Kashkadar|Kashkadar'ya|Qashqadaryo"
7,246,"UZB","Uzbekistan",7,"Khorezm","UZ.KH",NA,"","Wiloyat","Region","","Khiva|Khwarazm|Khorazm|Xorazm"
8,246,"UZB","Uzbekistan",8,"Namangan","UZ.NG",NA,"","Wiloyat","Region","",""
9,246,"UZB","Uzbekistan",9,"Navoi","UZ.NW",NA,"","Wiloyat","Region","","Navoiy|Navoiy"
10,246,"UZB","Uzbekistan",10,"Samarkand","UZ.SA",NA,"","Wiloyat","Region","","Samarqand"
11,246,"UZB","Uzbekistan",11,"Sirdaryo","UZ.SI",NA,"","Wiloyat","Region","","Syr-Dar'ya"
12,246,"UZB","Uzbekistan",12,"Surkhandarya","UZ.SU",NA,"","Wiloyat","Region","","Sukhan-Dar'ya|Surxondaryo|Surkhan-Dar'ya"
13,246,"UZB","Uzbekistan",13,"Tashkent City","UZ.TK",NA,"","Shahar","City","",""
14,246,"UZB","Uzbekistan",14,"Tashkent","UZ.TA",NA,"","Wiloyat","Region","","Taschkent|Toshkent"
