"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,246,"UZB","Uzbekistan",1,"Andijon",1,"Andijon","UZ.AN.AJ",NA,"","District","District","","Andijan"
2,246,"UZB","Uzbekistan",1,"Andijon",2,"Asaka","UZ.AN.AD",NA,"","District","District","",""
3,246,"UZB","Uzbekistan",1,"Andijon",3,"Baliqchi","UZ.AN.BA",NA,"","District","District","","Baliqchi"
4,246,"UZB","Uzbekistan",1,"Andijon",4,"Bo'zsuv","UZ.AN.BO",NA,"","District","District","","Boz"
5,246,"UZB","Uzbekistan",1,"Andijon",5,"Buloqboshi","UZ.AN.BU",NA,"","District","District","","Buloqboshi"
6,246,"UZB","Uzbekistan",1,"Andijon",6,"Izboskan","UZ.AN.IZ",NA,"","District","District","","Izboskan"
7,246,"UZB","Uzbekistan",1,"Andijon",7,"Jalolquduq","UZ.AN.JA",NA,"","District","District","","Jalalkuduk"
8,246,"UZB","Uzbekistan",1,"Andijon",8,"Marhamat","UZ.AN.MA",NA,"","District","District","",""
9,246,"UZB","Uzbekistan",1,"Andijon",9,"Oltinko'l","UZ.AN.OL",NA,"","District","District","","Oltinkol"
10,246,"UZB","Uzbekistan",1,"Andijon",10,"Paxtaobod","UZ.AN.PA",NA,"","District","District","","Pakhtaabad"
11,246,"UZB","Uzbekistan",1,"Andijon",11,"Qo'rg'ontepa","UZ.AN.QT",NA,"","District","District","","Kurgontepa"
12,246,"UZB","Uzbekistan",1,"Andijon",12,"Shahrixon","UZ.AN.SC",NA,"","City","City","","Shakhrihon"
13,246,"UZB","Uzbekistan",1,"Andijon",13,"Ulug'nor","UZ.AN.UL",NA,"","District","District","","Ulugnor"
14,246,"UZB","Uzbekistan",1,"Andijon",14,"Xo'jaobod","UZ.AN.XJ",NA,"","District","District","","Khodjaobad"
15,246,"UZB","Uzbekistan",2,"Bukhoro",15,"Buxoro","UZ.BU.BD",NA,"","District","District","","Bukhara"
16,246,"UZB","Uzbekistan",2,"Bukhoro",16,"G'ijduvon","UZ.BU.GD",NA,"","District","District","","Gijduvan"
17,246,"UZB","Uzbekistan",2,"Bukhoro",17,"Jondor","UZ.BU.JO",NA,"","District","District","",""
18,246,"UZB","Uzbekistan",2,"Bukhoro",18,"Kogon","UZ.BU.KC",NA,"","City","City","","Kagan"
19,246,"UZB","Uzbekistan",2,"Bukhoro",19,"Olot","UZ.BU.OL",NA,"","District","District","","Alat"
20,246,"UZB","Uzbekistan",2,"Bukhoro",20,"Peshku","UZ.BU.PE",NA,"","District","District","","Peshku"
